	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
50x30	1068.6642617772902	65.94864972082445	151.29859351626487	247.71230167272677
50x32	1174.059468681208	72.42013532160797	139.11217056749567	126.11310796265411
50x34	1282.3148532244334	0.25059928172300466	17.45459251887585	57.656073400813504
50x36	1394.8420247468885	65.70870566370918	117.96759724602333	152.50807847455144
50x38	1508.5128520499923	165.57072446540835	211.90220574595313	274.9705162376509
50x40	1622.7695482723357	281.4713605324706	307.86796975326945	398.8466457173736
50x42	1743.1173089611614	406.678094812101	424.3296275302966	527.9509378720719
50x44	1863.5931272678597	532.7634597079648	545.8851014636691	656.0709290922746
50x46	1979.4062148028133	658.1095373872046	667.8956529279109	783.0249058618764
50x48	2091.0376562845545	775.6303501024187	774.9496499773393	910.9859713519198
51x17	690.8956775085512	498.9257632153304	260.52108782208006	690.8499672143004
51x19	708.3351506172769	472.1706106906699	200.796527858427	584.3875816613491
51x21	747.4206261537075	438.19812003248023	202.28146825648682	489.7811678698969
51x23	808.5581384167748	309.1136088883825	274.78563135651785	411.0037751651438
51x25	881.8633955437773	181.50440325237264	181.41788335222057	359.9624541532076
51x27	963.5565920069256	57.74899133318235	57.680724683380724	348.72061309879626
51x29	1055.3571535740873	0.40199502484492244	65.53137874331645	325.2755779335425
51x31	1154.1963316524618	108.51309598384873	181.47719415948646	209.437083631338
51x33	1259.863506575217	49.800955814120954	86.9706571206633	124.21197687823857
51x35	1367.2217722081525	53.48695541905564	69.10408381564768	137.5389922894599
51x37	1476.9862092788815	149.72288535825095	185.29744304765788	233.62641631459394
51x39	1590.2825072294547	248.89277369984072	296.7509609083012	350.874183718324
51x41	1706.1814727630822	363.36144264354766	394.4648754959054	474.04436290288294
51x43	1824.2573689038509	484.0711393999854	506.4404288758946	599.8660417126478
51x45	1943.337167760654	607.282988070636	624.5300854242333	726.1302001707409
51x47	2060.8352559096033	730.1673725934348	743.8550611510283	851.288101643621
52x16	747.0693231554892	575.2194134415149	346.2714738467496	776.4708968145555
52x18	752.3533002519492	536.8542152204822	275.5508816897523	670.5254121955408
52x20	780.4332278933283	499.757564424992	248.75132803665576	573.4154717131373
52x22	826.3091029390882	375.22304513449063	280.74745519772796	493.00208275422165
52x24	890.6611730619004	247.37640388687055	247.69667983241135	432.8596137317506
52x26	966.3804720709126	125.58700888228837	126.5736813085563	407.78633719142664
52x28	1048.8847458133805	19.250194804208935	20.865521800328736	406.65057481823374
52x30	1141.5576419962335	55.92003218883237	112.40840715889568	294.9404177117812
52x32	1241.055411816894	132.32556517922018	172.2183939072712	205.4446280631355
52x34	1344.3778983604275	99.94685387744838	102.4855775219129	171.47738509786075
52x36	1451.0287277652362	137.8209301956711	154.36414350489574	221.37327932702283
52x38	1560.0230866240408	235.11322974260722	263.22330975808353	317.25269234476167
52x40	1672.8360314149145	333.5698847318207	381.9786224384818	430.8128921005036
52x42	1789.0320042972962	445.92460394107	480.37909238433775	552.0466940395534
52x44	1906.5423983746075	564.6182044532395	590.5802881911994	675.5031286382026
52x46	2022.369410073244	683.1536802213687	703.7277249050234	798.2418623449914
53x17	804.3458186625951	608.2005228540996	356.3957856092018	757.9337939424526
53x19	821.1291333280047	571.3894062721148	313.30409125959403	661.0320518704066
53x21	854.8065296896137	447.6281975032403	313.66415670267486	577.5133965545735
53x23	907.8499948780088	324.1782429466852	324.9983587650868	512.4069995618721
53x25	974.0629772247793	204.7086798355166	206.62788679169142	471.2877290997512
53x27	1050.1550729297078	107.09060276233403	110.71963330864146	464.0383143663894
53x29	1135.0249507389694	74.69751535359127	84.91241840861674	380.01041933083906
53x31	1227.1646165042407	141.38866998455018	188.60338279044737	288.5713014143994
53x33	1326.9501977090174	160.6607207751791	176.3360065329825	234.08388923631648
53x35	1428.7756585272587	161.20831988455222	167.4893501091939	240.85373652903994
53x37	1535.0017231260688	222.72451593841214	239.5339850626629	305.82153292402415
53x39	1643.7431088828937	320.94162709128284	345.18291962378447	402.0966649948742
53x41	1756.0075030591415	418.98633724740984	462.8497280975762	512.8956139410828
53x43	1871.1989846085316	528.6717696264858	565.7093246535717	631.1570644459271
54x18	868.674789550152	646.7018555717929	386.0887592251299	748.3594390398242
54x20	892.671940860695	522.7541238479137	366.00627590247683	662.5288476738201
54x22	934.1372387395762	402.1560154964737	389.1295167421767	592.5863488134029
54x24	991.4588749917968	288.05280904722997	290.6280454464089	544.0801970298126
54x26	1059.817426729718	190.4183236981152	194.51410745753165	522.1550899876402
54x28	1137.0087093773736	131.3627237841848	131.24193384737984	467.1759467267122
54x30	1222.0313948503945	152.78262335750108	171.0007309925898	374.53353654913184
54x32	1315.5337198262916	229.720282082362	258.36371262234144	308.80085492109606
54x34	1413.454421479519	216.06999236358615	218.28788697497663	287.41106728864884
54x36	1515.970291133702	237.37372137623012	247.53295457372977	320.3135395202647
54x38	1621.4402259719598	310.4771270158238	327.3426437236676	393.36904606234583
54x40	1730.4763682870685	409.34452628562207	431.49403379421176	490.0528351106648
54x42	1842.1734903097486	507.360668952571	546.0131577169184	598.8189779891753
55x19	934.4648156030278	602.1939650976254	427.6258780756846	747.6312537608366
55x21	966.211457187297	484.3493986782681	429.3033659313655	674.7153029241294
55x23	1013.4756381877169	373.45386488828814	376.332445053572	619.5584792414674
55x25	1073.4269698493702	276.1015385686941	280.5455036175059	586.4332695200711
55x27	1143.81528159052	204.92983774941126	204.77001342970124	553.5735167075824
55x29	1221.771926670441	189.67551449778702	193.5349084790654	459.74619171886604
55x31	1309.0122451680888	234.0039700517923	257.64459629497395	386.6318895280111
55x33	1402.0702281982885	276.1007873947487	285.7530486276571	348.5022880843112
55x35	1499.9790297200827	277.30663461230074	281.54802361231395	354.23575426543283
55x37	1600.5907639368659	316.7762516351249	328.85284490178884	400.5864121509864
55x39	1706.1086606661372	396.0987275919984	413.06827764910753	478.85622268067084
55x41	1814.815563631743	495.3287090407746	515.9983817804086	575.6639036799166
56x18	983.3222808418409	682.9986734979798	497.5832674035574	833.3403554370807
56x20	1004.2071883829556	567.0456394330178	481.17447687922964	757.0119399322577
56x22	1040.9034725660204	457.84350950952665	460.8959526834663	695.9294498726147
56x24	1093.2583784266196	361.7802675658255	366.4104283450462	655.5428300271469
56x26	1155.6502282265171	285.16319888793527	285.4141727384962	637.2466163111425
56x28	1227.2442659878277	245.38868841085628	245.75672605241206	545.4118520897766
56x30	1307.3175750367623	261.1757301128881	269.6998368557167	468.67511348481065
56x32	1394.6408650258313	316.72294264861813	343.1936805945003	417.88800222069045
56x34	1488.2498567108958	332.2033654254577	334.33138650147725	403.4567089540094
56x36	1585.2311531130092	346.07162380062323	353.4406439559549	426.827516451318
56x38	1685.086016795582	398.3692809442016	411.5929105317538	482.41070054467104
56x40	1790.9495743878442	481.85460255143363	498.885856684673	564.5156667445112
57x19	1047.875924143694	650.738344036987	541.8041642512544	840.1636700072197
57x21	1075.9174856837303	543.4152335001291	542.8524993034481	775.5670673771548
57x23	1119.4019519368376	447.69758766381614	452.2592729839825	728.4558806132331
57x25	1171.1741844832472	364.3438079616555	364.92839078372583	697.0253441590194
57x27	1238.6263488235668	314.4441953669999	314.18961154054733	632.1057443181481
57x29	1311.639443902173	304.05175677834933	306.50270928655834	551.0923251144046
57x31	1392.6427596480012	337.337955172554	350.2830512599776	492.78065708791786
57x33	1480.8663406263245	390.700702328522	397.86932377352286	462.5529578329387
57x35	1573.5045942100078	391.51795361132577	394.7998834852922	466.8005869747812
57x37	1670.485545821933	420.7078782243095	430.0544602721851	503.20381437346094
58x20	1113.8812132359542	631.0160356124084	594.4435693991487	856.465852909502
