	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
32x46	495.4100233140223	494.4619411036608	306.60588904977027	607.8995403847581
33x13	713.3955368517524	713.3352031128143	567.7364811248261	884.181198623902
33x15	586.2617415455318	586.1911203694575	443.5407868505443	769.2163997211708
33x17	458.01252908626833	457.9204699508418	319.8201944843382	656.7334594795668
33x19	331.71860424160707	331.5774907921223	202.36480029886633	551.1065163831763
33x21	205.79258295672358	205.56660039996757	106.03559402389381	457.7678748011923
33x23	78.30516968885252	78.07035032584386	96.37706988698118	380.18676936474293
33x25	0.42426406871196065	10.867382389517982	131.95370400257815	335.6406709563071
33x27	76.28704739338121	76.15506286518311	158.68721939715243	326.6269333658815
33x29	198.9510834350999	198.7628073860904	246.3099137265897	354.8426321624841
33x31	230.39705032834044	230.26715093560315	275.1177217119973	310.7200682286225
33x33	104.94732583539181	104.66241541260118	325.887681878282	243.39642807568083
33x35	3.5022278623752867	3.0241693074295277	407.2268478379099	211.16037885929248
33x37	33.32566578479718	33.22228167961982	342.6196725233387	224.28856413112132
33x39	69.47134085362099	69.41373927400821	234.0403965130807	280.96602499234666
33x41	183.50894583098687	182.79051725951234	158.05281775406573	371.6290801323279
33x43	309.7401401174863	308.8999747491088	148.00025135113793	475.193175876927
33x45	437.00775324929873	436.1199564340067	222.08263417025648	581.0213906561444
34x12	757.5783550234258	757.3109823579741	644.5988551029236	967.7522017541473
34x14	640.5820731178791	640.2255480688035	522.3272464652788	853.9085620837867
34x16	524.3692477634439	524.3593309935468	402.9112904846426	744.0363888950594
34x18	398.1640526215294	397.69844455315643	289.30608842539084	639.5537606800543
34x20	271.3122429968836	270.69320863294666	190.46136931146958	543.4523835627184
34x22	144.00012499994568	143.49395806095805	139.58092992955778	462.7690957702343
34x24	23.33671784977494	23.092041919241453	166.68761921630548	407.6051550213762
34x26	1.7141761869773091	3.6412085905642466	188.82282277309614	381.55458115451864
34x28	121.72970220944428	121.7139285373699	238.3113937687413	389.1085200814808
34x30	241.02098995730637	240.81643963816086	326.26038312979426	398.7111204870014
34x32	169.31249333702465	169.19019002294436	312.2092253601739	323.5411571964225
34x34	45.80430110808355	45.349244756665854	328.149590888058	277.2061940144919
34x36	19.677814919345124	19.639154767962957	342.5409412026539	273.07386619740817
34x38	65.02904274245495	64.65644902096025	262.98261615551695	296.4944120889973
34x40	146.97422903352833	147.027970128136	151.4398362386857	363.28476984316325
34x42	260.8667529602039	260.34297148185135	85.58541230840677	455.65111960797384
34x44	379.7453304518702	379.0576156733961	132.13854850118497	556.8412664305691
34x46	501.60382853403377	500.82364241317555	240.45207589039478	657.7401924772428
35x11	790.8486239477185	790.6107929948844	721.7194648892325	1050.1663230174545
35x13	676.4916179820707	676.0556701929213	601.8804110452509	937.5207673433162
35x15	561.0524688476114	560.7132179644066	484.9888584287274	828.8073074002186
35x17	443.3015610168769	443.1386622717542	374.3893080738284	725.3258260947283
35x19	330.8623236332598	330.59539803209594	275.57437689306323	628.893979300168
35x21	221.44139089158554	220.94191453864065	209.42399480479807	547.3723135124759
35x23	110.05383773408371	109.70582117645368	202.67650875224828	484.89174791905907
35x25	24.399647538437925	23.88603776267635	244.96290086460039	446.7889242136605
35x27	39.75550276376844	39.42714800743264	251.3374226015696	439.42519272340314
35x29	169.62073693979764	169.29924512531068	273.325290450774	460.7572836103626
35x31	245.3808175061774	245.0641254855552	267.28222088272173	405.05686711867986
35x33	130.07125431854666	129.8351693494488	257.2993804889547	311.66259191632207
35x35	63.95433683496382	63.64430218016386	304.37837833854087	247.12668249300805
35x37	105.63302892561624	105.48334844893803	263.44702845164124	240.15315280045763
35x39	140.05183183378955	140.29267835493079	185.52324813887864	296.3697616154522
35x41	229.26022332711847	229.50610013679426	67.83104009227583	385.3776459526421
35x43	342.10705692809114	341.69442254739863	47.444266249990584	491.4468825824415
35x45	454.57092559907517	453.9838834143784	157.4331807466265	602.9248099058454
36x12	711.1978655760996	710.9860786260164	682.6009698205825	1021.489698430679
36x14	592.8324640233527	592.5175528201672	566.7571705766061	912.4925042979808
36x16	479.1553889919217	478.9329460373339	459.61341016119195	811.1743874161709
36x18	361.97774185714775	361.60459842208854	361.5116673082626	714.998101815662
36x20	246.79816287808927	246.65500846323772	287.6409101640448	631.6046019465027
36x22	150.12779889147762	149.92436759913298	254.29501764682712	562.9258885501716
36x24	107.77588784139064	107.4681441172221	278.4443966037029	518.3708344419083
