	dist_type_4	dist_type_ambigious	dist_type_parasite	dist_type_portal
45x35	518.2470453364881	518.6447724599179	171.80046565711066	177.13271860387633
45x37	634.557010835118	634.9554315068107	103.04659140408295	153.21749247393433
45x39	644.9361208677959	645.3554059586083	82.21192127666185	205.79698734432463
45x41	575.6858952588642	576.1069779129567	135.4114101543884	286.8279100784999
45x43	528.7289381147964	529.1293698142263	18.041341413542543	389.29152315456355
45x45	507.42239800781357	507.6013100849918	91.53736941817824	503.70754411662347
46x14	316.163581077897	316.51794577875035	507.0384699408911	302.69590350713366
46x16	271.00880059510973	271.577557982982	389.1865490995288	220.39866152043652
46x18	278.27843969664633	278.4350732217477	288.7339432765049	182.1353617505398
46x20	281.9447640939619	282.633773636485	209.0728341989936	206.92667783541089
46x22	209.64946935301293	209.96690215364876	182.23089748996995	286.83950216105166
46x24	159.8525570643147	160.24805771053823	230.3506891676255	309.3907561644335
46x26	130.12597742188134	130.22046690132845	223.94367595446852	183.68824132208348
46x28	155.7137437736307	156.21001888483312	171.66586731205516	68.42199938616253
46x30	237.52888245432362	237.76662928173894	195.49672631530214	65.2270649347343
46x32	327.5061068132929	327.7176376089636	279.47602759449734	170.92176572923688
46x34	436.83842550764706	437.28573038689484	232.38504685112594	257.4657452943983
46x36	554.1776790885756	554.5380960763654	186.3934011707495	205.73988431998325
46x38	673.3834346046835	673.6791892288198	127.25977369145383	222.14736100165604
46x40	655.6664167089849	656.0184829713263	161.5662402855254	285.3661682820867
46x42	599.2012433231428	599.5479380333154	100.85499491844713	369.2965339669468
46x44	565.3747960424129	566.0104769348355	67.13464083466911	468.12974697192686
47x15	236.06187748130776	236.4893443688319	428.2102404193529	217.8091136752546
47x17	212.95187249705	213.07768536381244	310.14270908728435	144.9941378125333
47x19	235.17357419574157	235.52199472660712	202.65589061263424	129.83608897375174
47x21	195.2543213350218	195.88580857223923	131.02156311081	200.93195365595784
47x23	129.15618452091238	129.40061823654463	145.9408099196383	308.5108101833711
47x25	86.96855753661761	87.25210599177517	239.07933829588865	263.33577425029057
47x27	77.82608817099825	78.414922049314	243.38138794903773	154.69873949066286
47x29	153.59485668472095	154.0083763955713	231.74248639384223	100.70044687090547
47x31	242.51931881810955	242.7633003565404	276.379485490512	149.3827968676449
47x33	354.6203744851672	355.0177601191245	306.3083577051072	252.6479962319119
47x35	473.89966237590835	474.1977330186216	273.4382745703317	278.32443299142847
47x37	599.127941261297	599.3640713289379	199.34615622078087	263.52398372823683
47x39	722.8650012277534	723.060585290057	187.98087668696553	302.56438984123724
47x41	676.1361179525911	676.5387276424021	186.8567633242105	368.2010999440392
47x43	635.8671952538518	636.3691460151099	120.72982233069028	454.5103849198609
48x14	223.38721986720716	224.0822393676035	473.2145919136475	240.60559012624782
48x16	159.59598992455898	159.83203683867615	348.5522629391464	130.11640941864303
48x18	164.50753782121944	164.771144318415	228.59074784426411	68.91973592520486
48x20	213.82029838160818	213.7506023383325	116.28121086400834	116.43676395365857
48x22	110.103088058419	110.58612028640832	68.54261448179501	227.37082046735893
48x24	56.45679764209052	56.705996155609135	155.90307886632633	344.37097729047963
48x26	16.5894544816877	17.297687706742426	271.92831776039793	239.37128064995625
48x28	79.4484109343916	79.8777190460516	285.76117650933645	166.51081045986203
48x30	157.91902988557146	158.2593441159163	301.555334888972	166.84609674787131
48x32	275.01058161459895	275.31730784678246	361.2229505443975	236.1737072580268
48x34	398.83205738756794	399.04136377072524	344.2458569104354	337.27645930304743
48x36	525.2236571214212	525.3864196950661	277.83644469363617	319.204150975516
48x38	650.8219802680302	650.952724857958	240.7900537812973	331.1157652543897
