	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
31x53	96.90128998109368	522.8375082183755	97.23507597569925	413.89257060256597
31x55	219.74112041217958	584.5986315413336	220.1630305023984	523.6
31x57	342.48861294939445	658.8622390151071	342.80614055177034	636.9598495980733
32x18	380.6839371447132	380.92343062615606	622.1394216733095	405.8500461993321
32x20	311.19961439564776	311.62028175329004	505.1734355644603	287.38301967931227
32x22	259.8489753683858	260.42789789114374	397.74525767128887	184.17136042284093
32x24	252.40610135256213	252.7940663860603	302.6011235934198	102.33200867763739
32x26	174.08690358553667	305.766986445561	174.69301646030374	85.43213681045364
32x28	50.569259436934736	312.91987792404655	50.91414341811133	167.54238269763272
32x30	43.61524962670734	288.2351297118381	44.060072628174275	166.1604345203755
32x32	164.81896128783237	317.32899331766095	165.37862618851318	41.03522876748703
32x34	291.18950873958374	387.35762545740636	291.67538463161424	54.42177872874094
32x36	356.43171856612344	357.26596535354474	415.1283777339249	2.3600847442406807
32x38	360.1087058097877	360.7060853381881	537.9089885845004	74.68118906391376
32x40	406.1567431423491	406.63952095191166	583.3723510760517	202.1249613481722
32x42	473.4177542086905	473.6658843530956	511.5046138599337	294.22707217385687
32x44	384.5016124803637	555.6078563159454	385.3778535411704	205.56140201895866
32x46	257.47023128897797	488.8021276549436	258.2799256620611	171.43780213243528
32x48	130.85725046782812	438.6142040563664	131.5143338195495	213.81679073449803
32x50	9.714422267947741	422.74054690791127	10.381233067415382	302.60332119790104
32x52	64.80347212920023	445.7901860741217	65.2494444420796	399.02743013482194
32x54	176.4233544630645	499.5087586819675	176.94801496484808	498.00983926023014
32x56	297.2542682620387	577.6248782730881	297.57301624979385	607.5005349791885
33x17	387.02067128255527	387.2087292404443	704.5707913332769	487.18641196158165
33x19	295.22347467638775	295.5308782513255	589.1727250985062	371.7930876172929
33x21	233.31517310282206	233.67449582699396	483.0523470598193	269.26486959869095
33x23	190.56799311531793	190.66242419522484	371.1751069239423	180.2563729802642
33x25	220.48464799164583	220.9843433368074	245.45565790993678	142.05308866758244
33x27	115.61699702033432	308.0595559303427	116.25183869513631	162.38993195392393
33x29	14.329340529138449	350.7479579413117	0.36055512754632324	229.02124355613805
33x31	89.01280806715424	353.4423291005198	89.50910568204802	107.91144517612558
33x33	214.009532497971	398.2490175756875	214.59328973665532	41.979518815727566
33x35	340.5906780873488	428.59259209650367	341.2002491206594	58.607252110980184
33x37	410.9630762002836	411.9328221931339	465.8137503337575	38.09265020971915
33x39	434.15035414013	434.47753681864873	593.2894150412598	145.84488335214257
33x41	487.56230371102345	488.0971214830101	573.6335066922084	269.72170843297
33x43	444.2148354118758	557.2001615218715	445.17369643769376	289.34066426964625
33x45	315.70912245293124	476.0351352578923	316.6626754134436	233.20945521140447
33x47	186.7547054293411	408.1101812011062	187.6835634785315	237.7711504787748
33x49	62.310352269907625	370.78265870992374	63.056958378913116	295.7792758122181
33x51	17.041713528868286	373.1321749728908	17.51627814348736	385.60241181818384
